Binomial,Year,cwl,Bill_width.mm.,Longitude_decimal_degrees,Latitude_decimal_degrees
Trichothraupis_melanops,2007,,,-47.460382,-23.851281
Trichothraupis_melanops,1998,77.91,8.73,-42.95,-19.966667
Trichothraupis_melanops,2017,79.8,,-48.673631,-25.304749
Trichothraupis_melanops,2017,76.25,,-48.68104,-25.301984
Trichothraupis_melanops,2014,84.63,6.78,-48.34105,-25.14759
Trichothraupis_melanops,2017,82,7.2,-49.398056,-22.530694
Trichothraupis_melanops,2006,89,,-47.81,-23.95
Trichothraupis_melanops,2015,77.9,,-48.541493,-25.587558
Trichothraupis_melanops,1998,80.67,9.44,-42.95,-19.966667
Trichothraupis_melanops,2007,83,4.9,-48.054843,-20.091019
Trichothraupis_melanops,2014,78.54,7.93,-48.34105,-25.14759
Trichothraupis_melanops,2007,79,7.6,-48.533333,-21.616667
Trichothraupis_melanops,2016,86,8.5,-49.076722,-22.775
Trichothraupis_melanops,2016,83,,-49.672487,-22.37698
Trichothraupis_melanops,2007,80,7.59,-48.533333,-21.616667
Trichothraupis_melanops,2012,76,,-49.405145,-28.599546
Trichothraupis_melanops,2012,82,,-49.405145,-28.599546
Trichothraupis_melanops,2003,76.8,,-48.541493,-25.587558
Trichothraupis_melanops,2006,80,,-47.81,-23.95
Trichothraupis_melanops,2014,76.13,7.29,-48.34105,-25.14759
Trichothraupis_melanops,2016,85.4,,-48.541493,-25.587558
Trichothraupis_melanops,1999,80,,-47.841667,-21.971667
Trichothraupis_melanops,2007,82,6.9,-49.308679,-25.42167
Trichothraupis_melanops,2014,80.23,6.92,-48.34105,-25.14759
Trichothraupis_melanops,2015,80,,-46.457653,-23.876918
Trichothraupis_melanops,2012,84.3,,-48.541493,-25.587558
Trichothraupis_melanops,2008,86,5.04,-48.054843,-20.091019
Trichothraupis_melanops,2012,83,,-50.6967,-24.1431
Trichothraupis_melanops,1999,,,-48.364722,-24.304722
Trichothraupis_melanops,2012,,,-50.6967,-24.1431
Trichothraupis_melanops,2005,82,,-43.787333,-22.370933
Trichothraupis_melanops,1999,84,,-47.841667,-21.971667
Trichothraupis_melanops,2005,85,,-45.982,-23.633
Trichothraupis_melanops,2014,81.82,6.96,-48.34105,-25.14759
Trichothraupis_melanops,2003,85,9.6,-42.38333,-22.5
Trichothraupis_melanops,2006,,,-47.480381,-23.876407
Trichothraupis_melanops,2017,80,8.8,-49.398056,-22.530694
Trichothraupis_melanops,2006,77.1,,-47,-23.833333
Trichothraupis_melanops,2006,,,-47.443783,-23.867903
Trichothraupis_melanops,2006,,6.5,-51.94695,-23.866923
Trichothraupis_melanops,2012,,8.7,-47.949986,-24.16386
Trichothraupis_melanops,2007,84,5.8,-48.054843,-20.091019
Trichothraupis_melanops,2006,,,-47.480381,-23.876407
Trichothraupis_melanops,2007,85.8,,-47,-23.833333
Trichothraupis_melanops,2008,83.8,,-48.541493,-25.587558
Trichothraupis_melanops,2017,,,-47.198404,-24.045634
Trichothraupis_melanops,1990,76,6.98,-47.883333,-25.05
Trichothraupis_melanops,1996,83,,-44.202778,-23.175
Trichothraupis_melanops,2000,,7.5,-48.364722,-24.304722
Trichothraupis_melanops,2006,,,-47.449187,-23.854583
