ID_ABT,Binomial,Family,Sex,Year,month,season,cwl,wing_col,Bill_width.mm.,Body_mass.g.,Main_researcher,Municipality,Locality,Longitude_decimal_degrees,Latitude_decimal_degrees,Altitude,Molt,Ring
VC0900,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,58,right,,14.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,Yes,
VC0887,Haplospiza_unicolor,Thraupidae,Male,2010,4,MAM,66,right,,14.5,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
EH1239,Haplospiza_unicolor,Thraupidae,Female,2001,4,MAM,,,7,17,E.Hasui,Ribeirão Grande,Parque Estadual Intervales Mirante da Anta,-48.40777778,-24.278333,916,,
CB1878,Haplospiza_unicolor,Thraupidae,Male,2006,8,JJA,,,,18,C.Banks-Leite,Piedade,,-47.475802,-23.851386,972,,E72762
PA0521,Haplospiza_unicolor,Thraupidae,Female,2006,8,JJA,57,right,,16,P.Antas,Pilar do Sul,faz Brumado,-47.81,-23.95,769,no,E54018
EH1237,Haplospiza_unicolor,Thraupidae,Female,2001,4,MAM,,,6.55,14.5,E.Hasui,Ribeirão Grande,Parque Estadual Intervales Mirante da Anta,-48.40777778,-24.278333,916,,
MV0337,Haplospiza_unicolor,Thraupidae,Male,2012,7,JJA,64,generic,7.7,14,M.Vallejos,Telúmaco Borba,,-50.6967,-24.1431,610,,D109136
EH0484,Haplospiza_unicolor,Thraupidae,Male,2000,3,MAM,,,,14.5,E.Hasui,Eldorado,Parque Estadual Intervales Barra Grande,-48.364722,-24.304722,915,,
VC0496,Haplospiza_unicolor,Thraupidae,Female,2010,1,DJF,59,right,,17,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,E98630
PC0549,Haplospiza_unicolor,Thraupidae,Female,2013,2,DJF,66,right,6.65,15.5,A.Piratelli,São Miguel Arcanjo,Parque Estadual Carlos Botelho,-47.949986,-24.16386,489,no,D82721
MA0825,Haplospiza_unicolor,Thraupidae,Female,2003,12,DJF,,,,16.5,M.Alves,Petrópolis,Reserva Biológica Estadual de Araras,-43.29155,-22.449367,1663,no,E59853
VC0713,Haplospiza_unicolor,Thraupidae,Female,2010,4,MAM,63,right,,17,V.Cavarzere,São José dos Campos,Fazenda Montes Claros,-46.016667,-23.033333,795,no,
LP0303,Haplospiza_unicolor,Thraupidae,Female,1998,10,SON,63,generic,,17,L.Bugoni,Porto Alegre,Parque Saint Hilaire,-51.09,-30.1,79,Yes,D 24389
